meanValue,medianValue,standardDeviation,meanAbsoluteDeviation,quantile25,quantile75,signalIQR,sampleSkewness,sampleKurtosis,spectralEntropy,dominantFrequencyValue,dominantFrequencyMagnitude,dominantFrequencyRatio,Error1,Error2,Error3,Error4
0.014318925,0.01431546,6.91E-05,6.00E-05,0.014261039,0.01437766,0.000116621,0.071050817,1.818459148,-0.272047579,0,0.656378177,0.998621697,1,0,0,0
0.01431823,0.014313417,6.94E-05,6.05E-05,0.014259384,0.014376285,0.000116902,0.071230934,1.794852966,-0.272061245,0,0.656378087,0.998629362,1,0,0,0
0.014319468,0.014314345,6.95E-05,6.05E-05,0.014261054,0.014378566,0.000117512,0.054540328,1.796126563,-0.272040071,0,0.65637807,0.998617951,1,0,0,0
0.014319268,0.014313547,6.96E-05,6.07E-05,0.014260752,0.014379365,0.000118613,0.063086706,1.788964615,-0.272055429,0,0.656378024,0.998636374,1,0,0,0
0.014318886,0.014314345,6.93E-05,6.03E-05,0.014260202,0.01437894,0.000118738,0.06032833,1.796390087,-0.27206963,0,0.656378116,0.998627368,1,0,0,0
0.014318976,0.01431681,6.91E-05,6.01E-05,0.014259721,0.01437843,0.000118708,0.048553033,1.799180126,-0.272066678,0,0.656378189,0.998628769,1,0,0,0
0.014318769,0.014317162,6.85E-05,5.95E-05,0.014260768,0.014376244,0.000115476,0.046373941,1.817376094,-0.272077964,0,0.656378343,0.998633741,1,0,0,0
0.014319487,0.01431982,6.87E-05,5.96E-05,0.014260865,0.014376718,0.000115853,0.025349618,1.816500032,-0.272072625,0,0.656378293,0.998635522,1,0,0,0
0.014320237,0.014321403,6.88E-05,5.97E-05,0.014261323,0.014379217,0.000117894,0.011842085,1.806156797,-0.272075156,0,0.656378261,0.998634715,1,0,0,0
0.014320274,0.014321163,6.92E-05,6.00E-05,0.014261413,0.014379447,0.000118035,0.008399707,1.803003035,-0.272080657,0,0.656378159,0.998634822,1,0,0,0
0.01432179,0.014323827,6.91E-05,5.97E-05,0.01426345,0.014380858,0.000117408,-0.002788405,1.823446507,-0.272066858,0,0.656378176,0.998630673,1,0,0,0
0.014322778,0.014325895,6.92E-05,5.98E-05,0.014263715,0.01438274,0.000119026,-0.031032788,1.814563115,-0.272062305,0,0.656378153,0.998632577,1,0,0,0
0.014322979,0.014325989,6.88E-05,5.95E-05,0.014264775,0.014381544,0.000116769,-0.036784233,1.820717381,-0.272068943,0,0.65637828,0.998624095,1,0,0,0
0.014324341,0.014326897,6.84E-05,5.90E-05,0.014267093,0.01438229,0.000115197,-0.057411575,1.841341225,-0.272044712,0,0.65637839,0.998617639,1,0,0,0
0.014322951,0.014325135,6.84E-05,5.90E-05,0.014265633,0.014380507,0.000114874,-0.041748865,1.833953858,-0.272068839,0,0.656378386,0.998630673,1,0,0,0
0.01432281,0.014325499,6.86E-05,5.92E-05,0.014265633,0.014380306,0.000114673,-0.044618178,1.832136444,-0.272074058,0,0.656378319,0.998621248,1,0,0,0
0.014323669,0.01432617,6.89E-05,5.94E-05,0.014266248,0.014382344,0.000116096,-0.059227753,1.832510706,-0.272069065,0,0.656378235,0.998626607,1,0,0,0
0.014324749,0.014328036,6.91E-05,5.96E-05,0.01426652,0.014383764,0.000117244,-0.077963261,1.823717722,-0.272068454,0,0.656378192,0.998623834,1,0,0,0
0.014325332,0.014329157,6.91E-05,5.95E-05,0.014267387,0.014384603,0.000117216,-0.09502898,1.828116478,-0.272061621,0,0.656378182,0.998621618,1,0,0,0
0.014325076,0.01432863,6.92E-05,5.97E-05,0.014266965,0.014384009,0.000117044,-0.086490565,1.823573473,-0.272065471,0,0.656378149,0.998624586,1,0,0,0
0.014323829,0.014326897,6.95E-05,6.00E-05,0.014264662,0.014383764,0.000119102,-0.053361646,1.803856357,-0.272080103,0,0.656378079,0.998628408,1,0,0,0
0.014323741,0.014326724,6.93E-05,5.98E-05,0.014265307,0.014383569,0.000118262,-0.048494111,1.817880044,-0.272077823,0,0.656378133,0.998641855,1,0,0,0
0.014323065,0.014325895,6.89E-05,5.94E-05,0.014264718,0.014382924,0.000118205,-0.03528455,1.826384993,-0.272077397,0,0.656378255,0.998626033,1,0,0,0
0.018779874,0.018779858,0.000111294,9.68E-05,0.01868222,0.018880519,0.000198299,-0.033701757,1.768838147,-0.272058913,0,0.656372962,0.998618173,1,0,0,0
0.018779322,0.018779572,0.000111445,9.70E-05,0.01868095,0.018880519,0.00019957,-0.023837851,1.765559348,-0.272072051,0,0.656372919,0.998617034,1,0,0,0
0.018779577,0.018780944,0.000111493,9.71E-05,0.018680727,0.018879765,0.000199038,-0.042005547,1.759216895,-0.272069646,0,0.656372906,0.998626863,1,0,0,0
0.018780628,0.018784479,0.000112108,9.77E-05,0.018680159,0.018884309,0.00020415,-0.064664133,1.750220363,-0.272060008,0,0.656372737,0.99862193,1,0,0,0
0.018779641,0.018782942,0.00011109,9.63E-05,0.018680727,0.018880295,0.000199568,-0.046859308,1.772220226,-0.272075138,0,0.656373019,0.99861263,1,0,0,0
0.018779826,0.018784479,0.000110932,9.61E-05,0.018680265,0.018880295,0.00020003,-0.047688655,1.773531361,-0.272052392,0,0.656373063,0.998614205,1,0,0,0
0.018779451,0.018784678,0.000110662,9.60E-05,0.018680159,0.018879143,0.000198984,-0.050449393,1.769745655,-0.272065135,0,0.656373138,0.99862997,1,0,0,0
0.018780562,0.018787292,0.000110533,9.60E-05,0.018682348,0.018880156,0.000197807,-0.069523093,1.772355803,-0.272053681,0,0.656373176,0.998616213,1,0,0,0
0.018778794,0.018784479,0.000110878,9.64E-05,0.018679152,0.018878983,0.000199832,-0.054311867,1.761818219,-0.272066185,0,0.656373077,0.99861878,1,0,0,0
0.018778884,0.018781683,0.00011134,9.68E-05,0.018679987,0.018879765,0.000199778,-0.041965588,1.755413177,-0.27205571,0,0.656372949,0.998617867,1,0,0,0
0.018778587,0.018780257,0.000110731,9.62E-05,0.018680265,0.018878718,0.000198453,-0.033694818,1.757292519,-0.272058667,0,0.656373117,0.998620867,1,0,0,0
0.018779658,0.018784479,0.000110639,9.63E-05,0.018680385,0.01887914,0.000198756,-0.054460627,1.751278169,-0.272047462,0,0.656373145,0.998621266,1,0,0,0
0.018779207,0.018782942,0.000110209,9.59E-05,0.018680844,0.018878123,0.000197279,-0.046988201,1.756440216,-0.272055896,0,0.656373261,0.998626105,1,0,0,0
0.018779459,0.018784479,0.000109865,9.55E-05,0.018682041,0.018875714,0.000193673,-0.058477004,1.765965672,-0.272047899,0,0.656373356,0.998622479,1,0,0,0
0.018778572,0.01878359,0.00010901,9.46E-05,0.018681858,0.018874273,0.000192415,-0.052260128,1.778940657,-0.272057619,0,0.656373589,0.998622824,1,0,0,0
0.018778214,0.018781236,0.000108252,9.40E-05,0.018681858,0.018874273,0.000192415,-0.048859915,1.780782457,-0.272070595,0,0.656373794,0.998636722,1,0,0,0
0.01877816,0.018780461,0.000107962,9.34E-05,0.018682552,0.018873906,0.000191354,-0.058797578,1.798294615,-0.272051447,0,0.656373874,0.998612796,1,0,0,0
0.018778478,0.018782137,0.00010852,9.40E-05,0.018681858,0.018873978,0.000192119,-0.065205362,1.790023337,-0.272052012,0,0.656373722,0.998617976,1,0,0,0
0.018778116,0.018781236,0.000107901,9.34E-05,0.018682041,0.018871819,0.000189778,-0.069400085,1.802461088,-0.272061353,0,0.656373889,0.998631408,1,0,0,0
0.018777453,0.018780009,0.000107492,9.31E-05,0.018682552,0.018871279,0.000188726,-0.057888531,1.809488134,-0.272060615,0,0.656373999,0.998609441,1,0,0,0
0.018777941,0.018780461,0.000107146,9.28E-05,0.018683541,0.018871408,0.000187867,-0.056391296,1.811958816,-0.272053759,0,0.656374092,0.998612537,1,0,0,0
0.018779364,0.018785258,0.000106707,9.24E-05,0.018685292,0.018872811,0.000187519,-0.071189971,1.819545049,-0.272044565,0,0.656374212,0.99861404,1,0,0,0
0.018778833,0.018780009,0.000106374,9.19E-05,0.018686013,0.018871968,0.000185956,-0.042648965,1.82889076,-0.272062619,0,0.6563743,0.998622688,1,0,0,0
0.018779083,0.018780257,0.000106544,9.22E-05,0.018687029,0.018871631,0.000184602,-0.047287533,1.831888551,-0.272063801,0,0.656374255,0.998619178,1,0,0,0
0.018778661,0.018778613,0.000106924,9.27E-05,0.018685334,0.018871819,0.000186485,-0.039612917,1.821591106,-0.272079331,0,0.656374152,0.998634812,1,0,0,0
0.018778963,0.01877751,0.000106511,9.23E-05,0.018688132,0.018871788,0.000183657,-0.045101926,1.835636304,-0.272056897,0,0.656374263,0.998620212,1,0,0,0
0.018777469,0.018773426,0.000106917,9.23E-05,0.018687812,0.018871292,0.000183479,-0.022039187,1.844044818,-0.272069607,0,0.656374152,0.998623517,1,0,0,0
0.018777617,0.01877489,0.000106741,9.22E-05,0.01868763,0.018870891,0.000183261,-0.025742887,1.847789058,-0.272064547,0,0.656374201,0.998615464,1,0,0,0
0.018778176,0.01877489,0.000107103,9.26E-05,0.018688108,0.018871367,0.000183259,-0.035143326,1.847614345,-0.272066713,0,0.656374104,0.998626054,1,0,0,0
0.018777429,0.01877274,0.000106962,9.26E-05,0.018686772,0.018871259,0.000184487,-0.013625854,1.840926373,-0.27206521,0,0.656374141,0.998622405,1,0,0,0
0.018535953,0.018525987,0.000145199,0.000125679,0.018405024,0.01865919,0.000254166,0.059942038,1.779491047,-0.27204401,0,0.656361399,0.99859867,1,0,0,0
